Column-0,#,Name,Price,24h %,7d %,Market Cap,Volume(24h),Circulating Supply,Column-10
,1,"Bitcoin

BTC","$57,547.05",1.17%,18.57%,"$1,073,313,688,565","$57,649,445,900

1,001,779 BTC","18,651,062 BTC",
,2,"Ethereum

ETH","$1,813.53",2.21%,16.17%,"$208,571,708,684","$24,508,254,676

13,514,120 ETH","115,008,725 ETH",
,3,"Binance Coin

BNB",$293.23,2.67%,25.21%,"$45,314,130,468","$4,950,294,774

16,881,772 BNB","154,532,785 BNB",
,4,"Tether

USDT",$1.00,0.01%,0.05%,"$37,512,831,421","$95,128,032,469

95,076,769,519 USDT","37,492,616,366 USDT",
,5,"Cardano

ADA",$1.12,4.03%,1.31%,"$35,860,891,794","$3,679,597,747

3,278,137,312 ADA","31,948,309,441 ADA",
,6,"Polkadot

DOT",$37.36,2.87%,5.43%,"$34,332,583,682","$2,779,834,381

74,402,462 DOT","918,914,013 DOT",
,7,"XRP

XRP",$0.4529,3.42%,5.83%,"$20,565,707,455","$3,207,170,944

7,080,645,376 XRP","45,404,028,640 XRP",
,8,"Uniswap

UNI",$31.36,0.60%,10.54%,"$16,358,019,157","$731,676,842

23,333,935 UNI","521,674,228 UNI",
,9,"Litecoin

LTC",$201.01,2.08%,9.43%,"$13,396,260,543","$5,287,156,865

26,303,064 LTC","66,645,024 LTC",
,10,"Chainlink

LINK",$29.61,3.36%,4.25%,"$12,186,737,966","$1,538,786,046

51,960,185 LINK","411,509,556 LINK",
"Crypto.com DeFi Wallet - Best Place to Manage, Swap & Farm DeFi Tokens
Securely Manage, Swap & Farm DeFi Tokens, including UNI, COMP, YFI, CRO, AAVE.
Boost your yields by up to 20x when you stake CRO!
Get App Now

Sponsored","Crypto.com DeFi Wallet - Best Place to Manage, Swap & Farm DeFi Tokens
Securely Manage, Swap & Farm DeFi Tokens, including UNI, COMP, YFI, CRO, AAVE.
Boost your yields by up to 20x when you stake CRO!
Get App Now

Sponsored","Crypto.com DeFi Wallet - Best Place to Manage, Swap & Farm DeFi Tokens
Securely Manage, Swap & Farm DeFi Tokens, including UNI, COMP, YFI, CRO, AAVE.
Boost your yields by up to 20x when you stake CRO!
Get App Now

Sponsored","Crypto.com DeFi Wallet - Best Place to Manage, Swap & Farm DeFi Tokens
Securely Manage, Swap & Farm DeFi Tokens, including UNI, COMP, YFI, CRO, AAVE.
Boost your yields by up to 20x when you stake CRO!
Get App Now

Sponsored","Crypto.com DeFi Wallet - Best Place to Manage, Swap & Farm DeFi Tokens
Securely Manage, Swap & Farm DeFi Tokens, including UNI, COMP, YFI, CRO, AAVE.
Boost your yields by up to 20x when you stake CRO!
Get App Now

Sponsored","Crypto.com DeFi Wallet - Best Place to Manage, Swap & Farm DeFi Tokens
Securely Manage, Swap & Farm DeFi Tokens, including UNI, COMP, YFI, CRO, AAVE.
Boost your yields by up to 20x when you stake CRO!
Get App Now

Sponsored","Crypto.com DeFi Wallet - Best Place to Manage, Swap & Farm DeFi Tokens
Securely Manage, Swap & Farm DeFi Tokens, including UNI, COMP, YFI, CRO, AAVE.
Boost your yields by up to 20x when you stake CRO!
Get App Now

Sponsored","Crypto.com DeFi Wallet - Best Place to Manage, Swap & Farm DeFi Tokens
Securely Manage, Swap & Farm DeFi Tokens, including UNI, COMP, YFI, CRO, AAVE.
Boost your yields by up to 20x when you stake CRO!
Get App Now

Sponsored","Crypto.com DeFi Wallet - Best Place to Manage, Swap & Farm DeFi Tokens
Securely Manage, Swap & Farm DeFi Tokens, including UNI, COMP, YFI, CRO, AAVE.
Boost your yields by up to 20x when you stake CRO!
Get App Now

Sponsored","Crypto.com DeFi Wallet - Best Place to Manage, Swap & Farm DeFi Tokens
Securely Manage, Swap & Farm DeFi Tokens, including UNI, COMP, YFI, CRO, AAVE.
Boost your yields by up to 20x when you stake CRO!
Get App Now

Sponsored"
,11,"Bitcoin Cash

BCH",$546.12,3.12%,7.27%,"$10,199,677,760","$4,335,348,471

7,938,494 BCH","18,676,719 BCH",
,12,"Stellar

XLM",$0.408,2.76%,2.15%,"$9,217,999,837","$951,067,183

2,331,246,376 XLM","22,595,069,093 XLM",
,13,"USD Coin

USDC",$1.00,0.01%,0.00%,"$9,082,394,357","$1,665,090,193

1,664,795,518 USDC","9,080,787,024 USDC",
,14,"THETA

THETA",$7.83,34.42%,85.39%,"$7,825,156,127","$1,266,362,155

161,832,190 THETA","1,000,000,000 THETA",
,15,"Wrapped Bitcoin

WBTC","$57,372.93",0.97%,17.43%,"$7,613,148,558","$187,806,660

3,273 WBTC","132,696 WBTC",
,16,"Dogecoin

DOGE",$0.05622,0.16%,13.56%,"$7,236,916,364","$1,291,055,312

22,962,665,964 DOGE","128,715,548,868 DOGE",
,17,"NEM

XEM",$0.5926,0.95%,17.83%,"$5,333,088,884","$667,388,735

1,126,270,113 XEM","8,999,999,999 XEM",
,18,"Aave

AAVE",$403.64,5.55%,4.07%,"$5,018,848,529","$402,078,990

996,135 AAVE","12,434,002 AAVE",
,,Crypto.com CoinCRO,$0.19,,,,,,
